Fiscal Year 2016	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Uganda	32	604	2	7	5,266	6	0	0	48	0	0	30	0	0	50	0	0	0	0	0	0	525	26	0	28	165	0	287	8	40	0	0	0	0	2	14	19	281	21	76	7	0	0	19	17	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	311	0	0	34	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	7,945	0	7,945	
Zambia	24	213	0	3	2,338	6	0	0	26	15	0	21	1	0	2	0	1	0	0	1	0	131	6	0	43	131	0	164	1	12	0	0	0	0	0	1	21	120	4	11	1	0	0	6	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	8	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,325	0	3,325	
Zimbabwe	54	33	10	32	5,832	13	0	0	351	4	0	3	0	0	528	0	1	0	0	0	0	511	10	0	38	191	0	288	6	78	0	0	4	0	3	24	19	261	18	19	1	0	0	47	30	10	0	0	0	0	0	0	0	0	0	0	0	7	0	0	14	0	10	0	8	7	3	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	8,471	0	8,471	
																																																																																						
Totals for Africa	1,925	12,622	278	2,472	450,192	6,086	0	0	1,211	8,104	4	344	1	0	1,138	2	160	0	0	8	0	22,772	1,672	0	1,394	5,844	8	4,737	98	1,690	0	0	2,371	1,981	68	811	710	10,755	1,310	3,839	347	22	5	1,527	1,550	572	24	0	0	1	0	0	0	0	0	6	0	248	79	96	485	0	803	32	111	435	133	0	0	0	0	36	0	0	11	4	6	0	1	2	10	0	1	551,154	0	551,154	
																																																																																							
Asia																																																																																							
Afghanistan	136	469	0	6	2,076	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	237	21	0	32	69	0	135	0	4	0	0	0	0	0	2	3	286	1	291	6	1	0	6	5	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,812	0	3,812	
Bahrain	2	165	0	5	4,117	706	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	174	10	0	8	37	0	1	0	11	0	0	0	0	0	3	3	84	6	2	0	0	0	11	4	16	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5,397	0	5,397	
Bangladesh	27	823	14	107	11,336	62	0	0	17	631	0	44	315	98	1	0	14	0	0	1	0	1,711	457	0	104	329	0	348	3	269	0	0	0	0	0	170	39	375	117	38	1	0	0	55	72	9	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	0	93	0	0	8	3	0	0	0	0	11	0	0	0	0	0	0	1	0	0	1	1	17,715	0	17,715	
Bhutan	1	125	0	0	472	1	0	0	1	8	0	12	0	0	0	0	0	0	0	0	0	77	8	0	22	57	0	32	0	6	0	0	0	0	0	0	1	32	2	7	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	876	0	876	
Brunei	27	65	0	0	31	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	13	0	0	7	24	0	11	0	1	0	0	0	0	0	0	4	50	5	2	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	0	260	
Burma	70	147	0	1,971	497	3,749	0	0	1,273	0	0	0	1	0	3,803	0	1	0	0	0	0	992	19	0	27	15	0	73	5	31	0	0	0	0	0	6	12	253	16	99	6	0	0	11	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13,138	0	13,138	
Cambodia	32	223	0	58	3,641	4	0	0	24	1	0	18	1	0	5	0	2	0	0	0	0	500	3	0	47	110	0	62	4	12	0	0	0	0	0	6	20	170	5	372	27	0	0	2	7	6	0	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	20	0	0	13	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	5,407	0	5,407	
China - mainland	498	2,314	1	380	1,989,925	1,342	0	0	1,397	12,986	0	874	3,906	104	72	5	88	13	0	35	0	148,016	4,104	0	140	755	0	822	7	21,657	0	0	0	0	200	4,601	836	38,606	12,769	1,428	156	0	0	5,430	5,333	2,120	27	0	0	0	0	0	0	0	0	1	1	631	147	195	1,102	1	973	8	173	82	19	0	0	0	0	117	0	1	3	0	0	0	0	4	7	0	0	2,264,412	0	2,264,412	
China - Taiwan	1	1	0	5	8,916	4	0	0	174	3,212	0	0	35	0	0	1,006	463	0	0	3	0	9,730	423	0	0	2	0	20	0	1,425	0	0	0	0	42	388	171	4,314	551	167	9	1	0	490	478	288	2	0	0	0	0	0	0	0	0	0	0	114	251	34	90	0	73	1	4	104	28	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	33,043	0	33,043	
Hong Kong S.A.R.	0	1	0	155	61,708	12	0	0	16	1,698	0	0	24	3	0	0	4	2	0	4	0	2,746	78	0	2	0	0	17	0	215	0	0	0	0	2	65	86	1,116	84	77	7	0	0	126	180	33	3	0	0	0	0	0	0	0	0	0	0	40	192	11	33	0	27	0	35	24	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	68,834	0	68,834	
India	166	2,122	71	905	563,202	3,794	0	0	1,394	32,956	1	296	6	2	16	2	34	0	0	203	0	62,537	2,720	0	83	315	0	1,288	20	126,692	0	0	0	2	154	110,003	258	8,373	2,222	913	28	7	0	23,511	28,470	503	11	0	0	0	0	0	0	0	0	1	0	408	220	174	73	0	2,357	18	4	769	313	0	0	0	0	89	0	19	29	0	0	0	3	19	48	0	1	977,825	0	977,825	
Indonesia	202	2,464	40	871	48,787	50	0	0	167	13,585	0	74	2	0	5	3	7	0	0	6	0	2,636	206	0	157	405	0	265	12	350	0	0	0	0	9	77	137	1,320	116	224	24	0	0	234	300	114	1	0	0	0	0	0	0	0	0	0	0	24	27	12	7	0	20	3	2	28	16	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	72,993	0	72,993	
Iran	1	0	3	60	23,048	570	0	0	33	13	7	0	0	0	0	0	15	0	0	4	0	2,650	489	0	96	209	0	171	1	144	0	0	0	0	0	69	19	846	374	356	19	1	0	47	51	9	0	0	0	0	0	0	0	0	0	0	0	32	9	12	3	0	11	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	29,404	0	29,404	
Iraq	110	419	0	43	12,972	157	0	0	4	44	0	0	0	0	0	0	0	0	0	0	0	393	128	0	82	93	0	38	0	12	0	0	0	0	1	7	17	521	123	195	3	3	3	13	16	11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15,416	0	15,416	
Israel	241	3,225	0	131	168,136	79	0	0	5	666	0	0	0	0	4	377	82	0	0	11	0	1,041	94	0	24	30	0	23	0	445	0	0	0	5	10	372	74	3,174	1,528	57	3	0	0	1,055	1,868	38	4	0	0	0	0	0	0	0	0	0	0	310	41	182	373	0	61	4	0	68	72	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	183,919	0	183,919	
Japan	298	8,886	0	16	6,703	10	0	0	54	4,119	0	465	111	25	0	1,803	13,609	2	0	17	0	16,668	725	0	57	149	0	296	4	1,011	0	0	0	232	117	567	1,160	7,296	2,671	502	29	0	0	4,791	5,729	581	2	0	0	0	0	0	0	0	0	0	0	508	134	160	798	1	238	30	206	100	36	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	80,948	0	80,948	
Jordan	29	2,271	7	61	29,093	343	0	0	7	184	0	65	0	0	1	2	29	0	0	0	0	971	214	0	14	47	0	202	1	223	0	0	0	0	0	117	16	977	158	103	4	4	0	42	80	13	0	0	0	0	0	0	0	0	0	0	0	13	2	7	1	0	9	0	0	7	18	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	35,337	0	35,337	
Korea, North	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	
Korea, South	228	2,640	0	11	13,378	4	0	0	4	4,463	0	91	298	147	0	245	2,020	41	0	14	0	25,355	3,136	0	51	94	0	204	1	2,377	0	0	0	1	98	1,178	209	9,673	4,404	403	7	0	0	1,841	2,206	621	53	0	0	0	0	0	0	0	0	0	0	420	68	169	558	0	165	13	1	249	204	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	77,370	0	77,370	
Kuwait	51	515	0	3	26,724	19	0	0	0	89	0	0	0	0	6	0	0	0	0	0	0	3,099	311	0	47	33	0	11	0	10	0	0	0	0	5	3	5	91	38	1	0	0	0	4	6	7	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31,082	0	31,082	
Laos	36	165	0	3	1,413	4	0	0	3	0	0	10	1	0	0	0	0	0	0	0	0	92	0	0	26	88	0	23	1	0	0	0	0	0	0	0	2	95	1	209	10	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,211	0	2,211	
Lebanon	4	496	14	55	22,109	228	0	0	13	288	0	0	0	0	1	0	4	0	0	1	0	539	17	0	9	40	0	96	0	176	0	0	0	0	2	42	41	639	54	141	1	2	0	71	63	18	1	0	0	0	0	0	0	0	0	0	0	34	13	1	9	0	40	0	0	12	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	25,281	0	25,281	
Macau S.A.R.	0	0	0	16	3,767	0	0	0	0	3	0	0	16	2	0	0	0	0	0	0	0	227	7	0	0	0	0	0	0	22	0	0	0	0	0	1	0	34	3	4	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,115	0	4,115	
Malaysia	117	713	1	528	35,512	41	0	0	24	1,772	0	10	23	0	2	4	10	1	0	7	0	2,179	64	0	9	69	0	49	0	343	0	0	0	0	65	90	59	1,174	85	65	4	0	0	582	255	46	3	0	0	0	0	0	0	0	0	0	0	33	13	17	11	0	3	0	1	16	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	44,009	0	44,009	
Maldives	6	58	0	1	85	0	0	0	1	13	0	0	1	0	0	0	0	0	0	0	0	9	0	0	1	30	0	7	0	7	0	0	0	0	0	0	0	11	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	232	0	232	
