Fiscal Year 2017	A-1	A-2	A-3	B-1	B-1,2	B-2	B-1,2/BCC	B-1,2/BCV	C-1	C-1/D	C-2	C-3	CW-1	CW-2	D	E-1	E-2	E-2C	E-3	E-3D	E-3R	F-1	F-2	F-3	G-1	G-2	G-3	G-4	G-5	H-1B	H-1B1	H-1C	H-2A	H-2B	H-3	H-4	I	J-1	J-2	K-1	K-2	K-3	K-4	L-1	L-2	M-1	M-2	M-3	NATO-1	NATO-2	NATO-3	NATO-4	NATO-5	NATO-6	NATO-7	N-8	N-9	O-1	O-2	O-3	P-1	P-2	P-3	P-4	Q-1	R-1	R-2	S-5	S-6	S-7	TN	TD	T-1	T-2	T-3	T-4	T-5	T-6	U-1	U-2	U-3	U-4	U-5	Total Visas	BCC	Grand Total	
Bangladesh	4	933	10	58	9,020	55	0	0	15	631	0	33	28	11	0	0	4	0	0	1	0	1,480	408	0	120	376	0	383	1	182	0	0	0	0	0	141	56	289	78	15	0	0	0	34	44	3	0	0	0	0	0	0	0	0	0	0	0	7	0	7	1	0	42	0	0	12	1	0	0	0	0	13	0	1	2	0	0	0	0	0	0	0	0	14,499	0	14,499	
Bhutan	10	60	0	0	507	0	0	0	4	17	1	13	0	0	0	0	1	0	0	0	0	77	12	0	29	61	0	31	3	6	0	0	0	0	0	3	0	48	6	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	909	0	909	
Brunei	5	43	0	1	25	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	25	0	0	6	10	0	11	0	2	0	0	0	0	2	0	1	35	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	175	
Burma	75	138	1	2,181	466	5,177	0	0	1,307	0	0	4	4	0	4,944	0	1	0	0	0	0	1,145	24	0	26	56	0	76	1	22	0	0	0	0	0	3	1	292	14	97	3	0	0	8	10	21	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	15	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	16,142	0	16,142	
Cambodia	35	179	1	60	3,675	10	0	0	21	0	0	24	1	0	8	0	2	0	0	0	0	533	9	0	44	113	0	73	3	10	0	0	0	0	0	4	7	186	10	499	73	0	0	5	5	10	0	0	0	0	0	0	0	0	0	0	0	2	3	3	3	0	11	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5,637	0	5,637	
China - mainland	503	2,275	2	404	1,452,834	1,033	0	0	1,234	13,239	0	723	2,483	86	3	6	92	9	0	47	0	112,817	3,202	0	165	597	0	879	12	22,993	0	0	0	0	116	4,770	732	39,038	12,105	957	108	1	0	5,170	5,054	2,114	24	0	0	2	0	0	0	0	0	0	0	853	231	199	997	2	1,345	7	197	79	30	0	0	0	0	112	0	0	0	2	1	0	0	4	5	0	0	1,689,893	0	1,689,893	
China - Taiwan	1	3	0	11	8,666	3	0	0	86	3,150	0	0	132	0	0	679	561	0	0	4	0	9,117	329	0	1	2	0	21	0	1,261	0	0	0	0	34	346	133	4,453	598	141	3	0	0	543	532	317	15	0	0	0	0	0	0	0	0	0	0	126	182	31	244	0	53	4	2	120	11	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	31,934	0	31,934	
Hong Kong S.A.R.	0	1	1	252	62,131	6	0	0	1	1,278	0	0	35	1	0	0	5	2	0	9	0	2,694	104	0	0	0	0	16	0	212	0	0	0	0	3	73	82	1,193	70	63	6	0	0	129	191	33	3	0	0	0	0	0	0	0	0	0	0	45	256	9	103	0	3	0	40	17	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	69,069	0	69,069	
India	177	2,014	88	925	599,983	4,092	0	0	1,223	36,849	1	274	14	5	27	1	32	0	0	190	0	44,741	2,561	0	79	178	0	1,332	18	129,097	0	0	0	0	137	117,522	210	8,164	2,072	749	20	0	0	22,355	28,934	489	4	0	0	0	0	0	0	0	0	0	0	458	328	175	16	0	2,379	30	3	872	338	0	0	0	0	77	0	7	16	0	0	0	6	26	41	3	0	1,009,332	0	1,009,332	
Indonesia	177	2,164	30	788	52,233	31	0	0	99	12,728	0	56	5	0	3	0	3	1	0	7	0	2,257	152	0	179	408	0	348	11	316	0	0	0	0	4	61	129	1,217	163	202	23	0	0	193	236	104	1	0	0	0	0	0	0	0	0	0	0	30	7	7	9	0	15	4	2	25	11	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	74,446	0	74,446	
Iran	1	2	3	33	14,649	383	0	0	4	4	4	0	0	0	0	0	20	0	0	4	0	2,201	437	0	106	196	0	180	0	95	0	0	0	0	0	76	4	644	286	336	22	0	0	26	27	0	0	0	0	0	0	0	0	0	0	0	0	18	4	9	3	0	2	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	19,801	0	19,801	
Iraq	121	546	0	19	8,824	66	0	0	3	45	0	0	0	0	0	0	1	0	0	1	0	207	48	0	65	131	0	34	0	7	0	0	0	0	0	7	6	558	82	234	3	1	0	9	10	5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	11,038	0	11,038	
Israel	208	3,260	0	176	163,495	435	0	0	4	678	0	0	0	0	3	288	83	0	0	6	0	973	119	0	33	23	0	33	0	394	0	0	0	0	9	295	57	3,160	1,501	43	3	0	0	930	1,606	46	0	0	0	0	0	0	0	0	0	0	0	315	140	156	284	0	65	3	0	72	105	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	179,007	0	179,007	
Japan	280	8,870	0	13	6,296	2	0	0	30	3,535	0	660	77	21	1	1,543	14,360	8	0	33	0	15,982	705	0	47	127	0	312	1	765	0	0	0	223	108	464	1,632	7,227	2,589	398	34	0	0	4,930	5,631	539	3	0	0	0	0	0	0	1	0	0	0	554	101	185	631	0	209	40	212	107	44	0	0	0	0	30	0	0	1	0	0	0	0	0	0	0	0	79,561	0	79,561	
Jordan	28	2,146	9	48	25,769	291	0	0	6	175	0	77	0	0	0	0	63	0	0	0	0	877	213	0	32	31	0	190	0	150	0	0	0	0	1	105	18	1,036	117	87	0	0	0	50	83	15	0	0	0	0	0	0	0	0	0	0	0	16	6	5	0	0	6	0	0	5	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	31,665	0	31,665	
Korea, North	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	55	
Korea, South	260	2,821	2	18	17,391	1	0	0	6	5,268	0	62	282	126	1	140	2,126	78	0	14	0	22,856	2,822	0	44	63	0	234	1	1,939	0	0	0	2	43	828	297	9,627	4,362	323	3	0	0	1,725	2,461	607	61	0	0	0	0	0	0	0	0	0	0	463	208	168	791	0	118	12	0	238	184	0	0	0	0	30	0	0	0	0	0	0	1	0	0	0	0	79,107	0	79,107	
Kuwait	30	480	0	0	15,412	6	0	0	1	77	0	3	0	0	0	0	1	0	0	0	0	2,611	282	0	46	90	0	12	0	23	0	0	0	0	4	4	12	104	36	1	0	0	0	15	32	13	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19,298	0	19,298	
Laos	31	105	0	3	1,641	2	0	0	1	0	0	10	0	0	0	0	2	0	0	0	0	114	0	0	19	78	0	28	3	0	0	0	0	0	0	0	3	83	4	507	41	0	0	2	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2,697	0	2,697	
Lebanon	24	590	11	33	16,757	210	0	0	5	141	0	1	0	0	2	0	3	0	0	1	0	548	14	0	3	78	0	91	0	154	0	0	0	0	14	41	64	575	52	135	4	0	0	50	36	12	3	0	0	0	0	0	0	0	0	0	0	21	19	4	5	0	15	0	0	6	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19,727	0	19,727	
Macau S.A.R.	0	0	0	7	3,524	0	0	0	2	5	0	0	35	0	0	0	0	0	0	0	0	232	6	0	0	0	0	1	0	21	0	0	0	0	0	5	0	51	3	2	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3,905	0	3,905	
