Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Saudi Arabia,"1,194","1,418","1,263","1,396","1,343","1,463","1,696","1,744","2,117","2,135"
Senegal,"1,149","1,524","1,285","1,424","1,615","1,340","1,273","1,244","1,533","1,470"
Serbia,,,20,244,704,866,"1,143","1,278","1,351","1,410"
Serbia and Montenegro (former),"3,255","3,166","2,196","1,398",801,653,267,232,202,144
Seychelles,16,10,8,15,7,6,7,11,16,10
Sierra Leone,"2,795","2,687","2,011","1,985","1,688","1,651","1,740","1,599","1,535","2,058"
Singapore,922,832,774,690,712,835,779,781,812,818
Sint Maarten,,,,,,,45,45,42,35
Slovakia,653,706,538,594,528,507,460,424,483,388
Slovenia,79,108,74,69,86,62,78,107,119,108
Somalia,"10,745","13,390","4,558","4,451","5,204","3,764","5,190","6,796","6,958","7,404"
South Africa,"2,723","3,171","2,758","2,649","2,781","2,629","2,676","2,907","3,023","2,912"
South Sudan,,,,,17,59,74,127,124,160
Soviet Union (former),"5,270","5,911","4,978","3,687","1,296","1,264","1,136","1,022","1,042",939
Spain,"1,621","1,769","1,684","1,890","1,842","2,480","2,928","3,303","3,519","3,045"
Sri Lanka,"1,935","2,009","2,036","2,053","1,994","1,847","1,767","1,763","1,913","1,627"
Sudan,"3,598","3,577","2,397","2,628","2,471","1,945","2,442","3,580","3,159","3,515"
Suriname,218,227,216,196,187,178,158,134,156,136
Swaziland,18,42,22,19,24,15,23,19,20,19
Sweden,"1,019","1,138","1,097",979,968,"1,106",954,"1,066","1,144",950
Switzerland,720,798,675,615,635,697,656,640,743,565
Syria,"2,641","2,442","2,555","2,785","3,014","3,366","3,540","3,840","4,800","5,877"
Taiwan,"9,073","8,038","6,732","6,154","5,331","5,385","4,697","4,888","5,120","4,858"
Tajikistan,231,265,299,382,411,550,516,595,593,652
Tanzania,838,"2,773","1,850","1,427","1,516",837,774,799,788,"1,415"
Thailand,"6,637","10,444","9,384","9,962","9,459","7,583","6,197","7,502","7,039","6,311"
Togo,"1,661","1,680","1,563","1,506","1,756","1,257","1,612","1,547","1,938","1,572"
Tonga,365,379,343,408,276,348,320,327,283,262
Trinidad and Tobago,"5,937","6,256","5,435","5,023","5,214","4,724","3,988","3,212","3,469","3,100"
Tunisia,410,416,418,440,422,445,429,518,518,535
Turkey,"4,210","4,958","4,483","4,403","4,162","4,144","3,834","4,201","4,469","4,844"
Turkmenistan,274,290,224,260,223,210,254,226,235,251
Turks and Caicos Islands,35,31,29,33,30,50,40,38,39,35
Uganda,"1,174","1,364","1,085","1,239","1,340","1,350","1,409","1,664","1,649","1,898"
Ukraine,"10,813","11,223","8,477","8,292","7,642","8,193","7,752","7,987","10,422","10,135"
United Arab Emirates,693,697,779,707,854,910,"1,039","1,193","1,370","1,314"
United Kingdom,"14,348","15,748","12,792","11,572","12,014","12,984","12,225","12,592","12,673","10,948"
United States,216,181,201,269,279,319,358,370,468,409
Uruguay,"1,451","1,775","1,331","1,553","1,374","1,352","1,128","1,078",972,"1,001"
Uzbekistan,"6,375","5,467","4,770","5,056","4,726","4,382","5,194","3,977","4,359","4,095"
Venezuela,"10,514","11,154","9,409","9,183","9,387","9,572","8,427","9,144","10,772","11,809"
Vietnam,"31,497","29,234","30,632","34,157","28,304","27,101","30,283","30,832","41,451","38,231"
"Virgin Islands, British",53,46,46,37,39,45,56,38,40,25
Yemen,"1,872","3,134","3,591","3,361","2,620","3,532","3,492","3,194","13,040","6,029"
Zambia,613,704,628,652,643,505,441,460,487,537
Zimbabwe,953,983,"1,274","1,016",914,924,797,779,815,810
All other countries,30,38,32,27,25,30,36,35,34,37
Unknown,"1,394","1,366","1,330","1,245","1,206","3,263","1,150",677,"1,724","1,468"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
